,v0,v1,v2,idx
0,0,57,76,0
1,0,1,59,0
2,57,0,59,0
3,1,2,61,0
4,59,1,61,0
5,61,2,78,0
6,3,0,76,0
7,94,3,76,0
8,1,0,4,0
9,4,0,3,0
10,97,79,2,0
11,97,2,4,0
12,4,2,1,0
13,78,2,79,0
14,5,95,116,0
15,94,95,5,0
16,94,5,3,0
17,3,5,6,0
18,4,3,7,0
19,7,3,6,0
20,119,97,4,0
21,7,119,4,0
22,5,116,118,0
23,118,140,8,0
24,118,8,5,0
25,5,8,6,0
26,142,120,7,0
27,142,7,8,0
28,8,7,6,0
29,119,7,120,0
30,8,140,143,0
31,142,8,143,0
32,9,295,318,0
33,9,10,297,0
34,295,9,297,0
35,10,11,299,0
36,297,10,299,0
37,11,12,301,0
38,299,11,301,0
39,12,13,303,0
40,301,12,303,0
41,13,14,305,0
42,303,13,305,0
43,14,15,307,0
44,305,14,307,0
45,307,15,321,0
46,16,319,336,0
47,318,319,16,0
48,318,16,9,0
49,9,16,17,0
50,10,9,18,0
51,18,9,17,0
52,11,10,19,0
53,19,10,18,0
54,12,11,20,0
55,20,11,19,0
56,13,12,21,0
57,21,12,20,0
58,14,13,22,0
59,22,13,21,0
60,15,14,23,0
61,23,14,22,0
62,322,321,15,0
63,322,15,24,0
64,24,15,23,0
65,322,24,339,0
66,25,337,356,0
67,336,337,25,0
68,336,25,16,0
69,16,25,26,0
70,17,16,27,0
71,27,16,26,0
72,18,17,28,0
73,28,17,27,0
74,19,18,29,0
75,29,18,28,0
76,20,19,30,0
77,30,19,29,0
78,21,20,31,0
79,31,20,30,0
80,22,21,32,0
81,32,21,31,0
82,23,22,33,0
83,33,22,32,0
84,24,23,34,0
85,34,23,33,0
86,340,339,24,0
87,340,24,35,0
88,35,24,34,0
89,35,36,342,0
90,340,35,342,0
91,342,36,359,0
92,37,357,374,0
93,356,357,37,0
94,356,37,25,0
95,25,37,38,0
96,26,25,39,0
97,39,25,38,0
98,27,26,40,0
99,40,26,39,0
100,28,27,41,0
101,41,27,40,0
102,29,28,42,0
103,42,28,41,0
104,30,29,43,0
105,43,29,42,0
106,31,30,44,0
107,44,30,43,0
108,32,31,45,0
109,45,31,44,0
110,33,32,46,0
111,46,32,45,0
112,34,33,47,0
113,47,33,46,0
114,35,34,48,0
115,48,34,47,0
116,36,35,49,0
117,49,35,48,0
118,360,359,36,0
119,360,36,50,0
120,50,36,49,0
121,50,51,362,0
122,360,50,362,0
123,362,51,377,0
124,52,375,390,0
125,374,375,52,0
126,374,52,37,0
127,37,52,53,0
128,38,37,54,0
129,54,37,53,0
130,39,38,55,0
131,55,38,54,0
132,40,39,56,0
133,56,39,55,0
134,41,40,58,0
135,58,40,56,0
136,42,41,60,0
137,60,41,58,0
138,43,42,62,0
139,62,42,60,0
140,44,43,63,0
141,63,43,62,0
142,45,44,64,0
143,64,44,63,0
144,46,45,65,0
145,65,45,64,0
146,47,46,66,0
147,66,46,65,0
148,48,47,67,0
149,67,47,66,0
150,49,48,68,0
151,68,48,67,0
152,50,49,69,0
153,69,49,68,0
154,51,50,70,0
155,70,50,69,0
156,378,377,51,0
157,378,51,71,0
158,71,51,70,0
159,378,71,392,0
160,72,52,390,0
161,405,72,390,0
162,53,52,73,0
163,73,52,72,0
164,54,53,74,0
165,74,53,73,0
166,55,54,75,0
167,75,54,74,0
168,56,55,77,0
169,77,55,75,0
170,57,77,76,0
171,57,58,77,0
172,58,56,77,0
173,59,58,57,0
174,60,58,59,0
175,61,60,59,0
176,62,60,61,0
177,78,62,61,0
178,78,80,62,0
179,80,63,62,0
180,64,63,81,0
181,81,63,80,0
182,65,64,82,0
183,82,64,81,0
184,66,65,83,0
185,83,65,82,0
186,67,66,84,0
187,84,66,83,0
188,68,67,85,0
189,85,67,84,0
190,69,68,86,0
191,86,68,85,0
192,70,69,87,0
193,87,69,86,0
194,71,70,88,0
195,88,70,87,0
196,408,392,71,0
197,88,408,71,0
198,89,406,424,0
199,405,406,89,0
200,405,89,72,0
201,72,89,90,0
202,73,72,91,0
203,91,72,90,0
204,74,73,92,0
205,92,73,91,0
206,75,74,93,0
207,93,74,92,0
208,77,75,96,0
209,96,75,93,0
210,76,96,94,0
211,77,96,76,0
212,79,97,98,0
213,79,80,78,0
214,79,98,80,0
215,98,99,80,0
216,81,80,100,0
217,100,80,99,0
218,82,81,101,0
219,101,81,100,0
220,83,82,102,0
221,102,82,101,0
222,84,83,103,0
223,103,83,102,0
224,85,84,104,0
225,104,84,103,0
226,86,85,105,0
227,105,85,104,0
228,87,86,106,0
229,106,86,105,0
230,88,87,107,0
231,107,87,106,0
232,409,408,88,0
233,409,88,108,0
