,x,y,z,idx
0,34.0,46.0,8.907202,0
1,35.0,46.0,8.863519,0
2,36.0,46.0,8.902782,0
3,34.0,47.0,8.870277,0
4,35.0,47.0,8.856864,0
5,33.0,48.0,8.8863735,0
6,34.0,48.0,8.8721895,0
7,35.0,48.0,8.919202,0
8,34.0,49.0,8.915871,0
9,33.0,41.0,9.886939,0
10,34.0,41.0,9.761553,0
11,35.0,41.0,9.708556,0
12,36.0,41.0,9.702824,0
13,37.0,41.0,9.717519,0
14,38.0,41.0,9.757402,0
15,39.0,41.0,9.861645,0
16,32.0,42.0,9.87356,0
17,33.0,42.0,9.707834,0
18,34.0,42.0,9.625206,0
19,35.0,42.0,9.591544,0
20,36.0,42.0,9.59079,0
21,37.0,42.0,9.598679,0
22,38.0,42.0,9.625206,0
23,39.0,42.0,9.71826,0
24,40.0,42.0,9.870823,0
25,31.0,43.0,9.915267,0
26,32.0,43.0,9.715487,0
27,33.0,43.0,9.609443,0
28,34.0,43.0,9.560756,0
29,35.0,43.0,9.541423,0
30,36.0,43.0,9.542585,0
31,37.0,43.0,9.549776,0
32,38.0,43.0,9.575025,0
33,39.0,43.0,9.671093,0
34,40.0,43.0,9.819719,0
35,41.0,43.0,9.875485,0
36,42.0,43.0,9.886939,0
37,30.0,44.0,9.874384,0
38,31.0,44.0,9.751871,0
39,32.0,44.0,9.645534,0
40,33.0,44.0,9.564284,0
41,34.0,44.0,9.532503,0
42,35.0,44.0,9.520245,0
43,36.0,44.0,9.523281,0
44,37.0,44.0,9.533116,0
45,38.0,44.0,9.569954,0
46,39.0,44.0,9.678961,0
47,40.0,44.0,9.715672,0
48,41.0,44.0,9.689231,0
49,42.0,44.0,9.705499,0
50,43.0,44.0,9.762807,0
51,44.0,44.0,9.8721895,0
52,29.0,45.0,9.914063,0
53,30.0,45.0,9.723871,0
54,31.0,45.0,9.627181,0
55,32.0,45.0,9.595218,0
56,33.0,45.0,9.551959,0
57,34.0,45.907204,9.0,0
58,34.0,45.0,9.518788,0
59,35.0,45.863518,9.0,0
60,35.0,45.0,9.508165,0
61,36.0,45.902782,9.0,0
62,36.0,45.0,9.517436,0
63,37.0,45.0,9.538174,0
64,38.0,45.0,9.599583,0
65,39.0,45.0,9.635498,0
66,40.0,45.0,9.594454,0
67,41.0,45.0,9.59079,0
68,42.0,45.0,9.6233835,0
